:T -------------------------------------------------------------------------
:T        DETAILED ATOMIC DATASET FOR THE OII/OIII RBB TRANSITIONS
:T -------------------------------------------------------------------------
:T
:T   * Lines_O.dat: Version compatible to FASTWIND data set O
:T
:T -------------------------------------------------------------------------
:T
:T  Notes:
:T 
:T     i. Oscillator strengths are gij fj/Sum(gi), check for consistency
:T        required
:T    ii. Last two columns correspond to Number of line and Sum(gi) 
:T   iii. Wavelengths are wavelengths in air
:T    iv. Both damping constants are divided by 4pi 
:T     v. The multiplet is identified by the NIST database number. 
:T    vi. Radiative lifetimes from VALD/NIST databases
:T   vii. Collisional damping from VALD or according to Cowly (1971)
:T
:T  Setup: Miguel A. Urbaneja
:T  Last revision: 17/12/2002
:T
:T {18/02/2003} Added some OIII lines
:T {30/12/2004} Ordered and revised by Sergio Simon
:T {05/05/2009} Ordered and revised by Sergio Simon (again)
:T
:T  viii. f values from Becker & Butler (used in A10)
:T
:V2
:T
:T =========================================================================
:T			OXYGEN   OII OIII
:T =========================================================================
:T
CL  TY  RBB  2  7  RBB
:T
:T-L0-----L1---N--lambda---gf/s(g)----------------------------------s(g)----
:T
:T
:T ------------------------------------------------------------------
:T  2s2.2p2.(3P).3s-2s2.2p2.(3P).3p 
:T ------------------------------------------------------------------
:T
:T === 4P-4Do === NIST 64 --- f = 0.4476 --- 2s2 2p2 (3P) 3p (4Do)
 O2011  O2018  1  4347.22   0.0119  1.44E+8   0.0    0.0   .86E-06    10.
 O2011  O2018  2  4347.41   0.1069  1.44E+8   0.0    0.0   .86E-06    10.
 O2011  O2018  3  4351.26   0.1661  1.44E+8   0.0    0.0   .86E-06    10.
 O2011  O2018  4  4351.46   0.0119  1.44E+8   0.0    0.0   .86E-06    10.
:T
:T === 2D-2Po === NIST 101 ---- f = 0.1622 --- 2s2 2p2 (1D) 3p (2Po)
 O2011  O2021  1  3911.96    .1000  1.49E+8    0.0    0.0  .91E-06    10.
 O2011  O2021  2  3912.12    .0130  1.49E+8    0.0    0.0  .91E-06    10.
 O2011  O2021  3  3919.27    .0565  1.49E+8    0.0    0.0  .91E-06    10.
:T
:T ------------------------------------------------------------------
:T  2s2.2p2.(1D).3p-2s2.2p2.(1D).3d 
:T ------------------------------------------------------------------
:T
:T === 2Fo-2G === NIST 161 ---- f = 0.6796 --- 2s2 2p2 (1D) 3d (2G)
 O2017  O2034  1  4189.788  0.3715  2.88E7    0.    0.    1.60E-7     14.  
 O2017  O2034  2  4185.440  0.2869  2.88E7    0.    0.    1.60E-7     14.  
 O2017  O2034  3  4189.581  0.0106  2.88E7    0.    0.    1.60E-7     14.  
:T
:T === 2Do-2F === NIST 172 ---- f = 0.4699 --- 2s2 2p2 (1D) 3d (2F)
 O2018  O2033  1  4699.11   0.2618  0.91E8    0.    0.    0.91E-6     10.
 O2018  O2033  2  4703.16   0.1830  0.91E8    0.    0.    0.91E-6     10.
:T
