:T
:T Lines.dat: Version compatible with FASTWIND data set 
:T
:T Notes: 
:T      i. Oscillator strengths are gij fj/Sum(gi), check for consistency
:T         required
:T     ii. Last two columns correspond to Number of line and Sum(gi) 
:T     iii. Wavelengths are wavelengths in air
:T     iv. Both damping constants are divided by 4pi 
:T      v. The multiplet is identified by the NIST database number. 
:T     vi. Radiative lifetimes from VALD/NIST databases
:T    vii. Collisional damping from VALD or according to Cowly (1971)
:T
:T ********************************************************************
:T 
:T OII-III
:T
:T Miguel A. Urbaneja
:T Last revision: April 2007
:T
:T *******************************************************************
:T  
:T *******************************************************************
:T         OXYGEN   OII OIII
:T *******************************************************************       
:T
     CL  TY  RBB  2  7  RBB
:T Jan 2020
 O2010  O2023  10 3875.810  .00064  2.24E+8  0.0    0.0    5.08E-7    20. 
 O2007  O2009  2  6721.39    .0410  3.24E+8    0.0    0.0  .45E-06     6.
:T intercombination, 3p 4^P* - 3d F^2  
:T fij values highly uncertain
 O2012  O2023  1  4084.6520  .01215  2.14E+8    0.0    0.0  1.36E-7    12.
 O2012  O2023  2  4096.5240  .02177  2.14E+8    0.0    0.0  1.36E-7    12.
 O2012  O2023  3  4112.0186  .02295  2.14E+8    0.0    0.0  1.36E-7    12.
:T
 O2025  O2049  1  4602.0590  .3236  3.025E8    0.0    0.0  1.01E-6    10.
 O2025  O2049  4  4647.7587  .0229  3.025E8    0.0    0.0  1.01E-6    10.
 O2013  O2025  1  4395.935   .0681  1.78E+8    0.0    0.0  6.05E-7    10.
 O2013  O2025  2  4369.272   .0409  1.78E+8    0.0    0.0  6.05E-7    10.
 O2013  O2025  3  4405.978   .0051  1.78E+8    0.0    0.0  6.05E-7    10.
 O2013  O2025  4  4395.935   .0025  1.78E+8    0.0    0.0  6.05E-7    10. 
 O2013  O2025 10  4395.956   .06966 1.78E+8    0.0    0.0  6.05E-7    10. 
:T This lines are not inlcuded in NIST 
 O2019  O2045  1  4087.195   0.12157  3.64E7  0.  0.  8.55E-7   28.
 O2019  O2045  2  4089.287   0.2785   3.64E7  0.  0.  8.55E-7   28. 
 O2019  O2045  3  4097.27    0.2162   3.64E7  0.  0.  8.55E-7   28.
 O2019  O2045  4  4096.244   0.01927  3.64E7  0.  0.  8.55E-7   28.
 O2019  O2045  5  4095.64    0.1603   3.64E7  0.  0.  8.55E-7   28.
 O2019  O2045  55 4095.64    .040075  3.64E7  0.  0.  8.55E-7   28. 
 O2019  O2045  6  4108.754   0.0254   3.64E7  0.  0.  8.55E-7   28. 
:T
:T -- from Kurucz, not in NIST 3.0  intercombination transitions 4^D - 2^F*  
:T:T O2022  O2049  1  4275.990  0.015   0.37E8    0.    0.    0.28E-5     20.
:T:T O2022  O2049  2  4276.270  5.8E-3  0.37E8    0.    0.    0.28E-5     20.
:T -- from VALD  
 O2022  O2048  1  4275.5290  .2884  2.04E8    0.0   0.0   9.15E-7     20.
 O2022  O2048  2  4276.7630  .1995  2.04E8    0.0   0.0   9.15E-7     20.
 O2022  O2048  3  4277.4570  .0813  2.04E8    0.0   0.0   9.15E-7     20.
 O2022  O2048  4  4277.9250  .0331  2.04E8    0.0   0.0   9.15E-7     20. 
:T O2022  O2048  5  4282.9880  .2576  2.04E8    0.    0.    9.15E-7     20.
:T O2022  O2048  6  4283.2680  .0853  2.04E8    0.    0.    9.15E-7     20.
:T merged in one unique line, to allow overlaping with other lines
 O2022  O2048  10 4283.0576  .3429  2.04E8    0.    0.    9.15E-7     20.
 O2022  O2048  7  4283.7400  .0324  2.04E8    0.    0.    9.15E-7     20.
 O2022  O2048  8  4284.0210  2.4E-3 2.04E8    0.    0.    9.15E-7     20.
:T new formulation for 4283, using Kurucks data
 O2022  O2048  11 4282.988   .1288  1.41E8    0.    0.    9.15E-7     20. 
:T
 O2025  O2048  1  4610.166  0.0676  0.69E8    0.    0.    1.01E-6     10.
 O2025  O2048  2  4621.241  0.0071  0.69E8    0.    0.    1.01E-6     10.
 O2025  O2048  3  4611.037  2.75E-3 0.69E8    0.    0.    1.01E-6     10. 
:T
 O2025  O2049  2  4609.373  0.4677  1.865E8   0.    0.    1.01E-6     10. 
 O2025  O2049  3  4613.11   0.020   0.20E9    0.    0.    0.29E-5     10.
:T
 O2021  O2036  1  4690.887  0.0409  1.78E8    0.    0.    0.99E-6      6.
 O2021  O2036  2  4691.417  0.0818  1.78E8    0.    0.    0.99E-6      6.
 O2021  O2036  3  4701.174  0.2041  1.78E8    0.    0.    0.99E-6      6.
 O2021  O2036  4  4701.714  0.0408  1.78E8    0.    0.    0.99E-6      6. 
:T corrected, aug 2008, miguel NIST  
 O2018  O2033  1  4698.446  .01309  0.91E8    0.    0.    9.14E-7     10.
 O2018  O2033  2  4699.003  0.2618  0.91E8    0.    0.    9.14E-7     10.
 O2018  O2033  3  4703.163  0.1832  2.29E8    0.    0.    9.14E-7     10.
:T 
 O2014  O2020  1  4890.854  0.0916  3.241E8    0.    0.    3.99E-8      4.
 O2014  O2020  2  4906.830  0.1729  3.241E8    0.    0.    3.99E-8      4.
 O2014  O2020  3  4924.525  0.2964  3.24E8    0.    0.    2.82E-7      4. 
 O2024  O2031  1  6627.37   0.0760   0.80E9   0.    0.    0.20E-5      6.
 O2024  O2031  2  6666.67   0.0151   0.80E9   0.    0.    0.20E-5      6. 
 O2024  O2031  3  6678.83   0.0150   0.80E9   0.    0.    0.20E-5      6.
 O2024  O2031  4  6717.75   0.0300   0.80E9   0.    0.    0.20E-5      6.
 O2019  O2028  1  6846.80   0.0064   0.22E8   0.    0.    0.18E-5     28. 
 O2019  O2028  2  6895.10   0.0555   0.22E8   0.    0.    0.18E-5     28.
 O2019  O2028  3  6906.44   0.0380   0.22E8   0.    0.    0.18E-5     28.
 O2019  O2028  4  6907.87   0.0154   0.22E8   0.    0.    0.18E-5     28.
 O2019  O2028  5  6910.56   0.0248   0.22E8   0.    0.    0.18E-5     28.
 O2022  O2028  1  7530.61   0.0141   0.22E8   0.    0.    0.18E-5     20.
 O2022  O2028  2  7598.39   0.0029   0.22E8   0.    0.    0.18E-5     20.
 O2022  O2028  3  7599.19   0.0070   0.22E8   0.    0.    0.18E-5     20.
 O2023  O2030  1  6565.283  0.0794  0.29E8    0.    0.    0.13E-5     14.
 O2023  O2030  2  6571.108  0.0553  0.30E8    0.    0.    0.13E-5     14.
 O2023  O2030  3  6495.802  0.0040  0.15E7    0.    0.    0.13E-5     14.  
:T 
 O2017  O2035  1  4189.788  0.3714  2.35E8    0.    0.    1.60E-7     14.  
 O2017  O2035  2  4185.440  0.2867  2.35E8    0.    0.    1.60E-7     14.  
:T  O2017  O2035  3  4113.820  .01374  2.35E8    0.    0.    8.03E-7     14. 
:T April 2007, data from Kurucz
 O2016  O2024  1  5160.0026 .03646   1.29E8   0.    0.    7.22E-7      6.
:T not corrected
 O2016  O2024  2  5175.91   0.0313   0.81E9   0.    0.    0.10E-5      6.
 O2016  O2024  3  5190.49   0.0312   0.81E9   0.    0.    0.10E-5      6.
 O2016  O2024  4  5206.64   0.1555   0.81E9   0.    0.    0.10E-5      6.
:T
 O2025  O2043  1  4696.29   0.0046  0.22E9    0.    0.    0.28E-5     10.
 O2025  O2043  2  4707.79   0.0651  0.22E9    0.    0.    0.28E-5     10.
:T aug 2008, miguel (NIST)
 O2013  O2023  1  4705.352  0.2999  0.21E9    0.    0.    6.39E-7     10.
 O2013  O2023  2  4741.707  0.0103  0.21E9    0.    0.    6.39E-7     10.
 O2013  O2023  3  4699.220  0.1862  0.21E9    0.    0.    6.39E-7     10.
:T 
 O2016  O2025  1  4941.071  0.1471  1.823E8    0.    0.    3.99E-8      6.
 O2016  O2025  2  4943.000  0.2889  1.823E8    0.    0.    3.99E-8      6.
